title,address,architect,latitude,longitude,image_path
Da lions,Jahnallee 54,,51.3387257561511,12.3415230279864,1.jpg
Babies – guys with horn underneath,Jahnallee 65,,51.338005446726,12.3412735684619,2.jpg
Columns of babies [smth],Jahnallee 67,,51.3377622240884,12.340933726134,3.jpg
König @ Theater der jungen Welt,Lindenauer Markt 21,Carl Fischer,51.3379001158738,12.3331884531178,4.jpg
High baby,Odermannstraße 21,,51.3363324084517,12.3328800819538,5.jpg
Many baby angels,"Demmeringstraße 42, 04177 Leipzig",,51.3374874115762,12.330425926134,6.jpg
Plant-esque Motifs,"Demmeringstraße 58, 04177 Leipzig",,51.3371510313071,12.3289376377735,7.jpg
Man with moustache & goatee,"Georg-Schwarz-Straße 3, 04177 Leipzig",,51.3382983276169,12.3271252684619,8.jpg
Dragon with egg in mouth,"Erich-Köhn-Straße 100, 04177 Leipzig",,51.3392449711137,12.3265835124147,9.jpg
Baby on a pedestal (other guys),Check,,,,10.jpg
Guy in “window roof”,"Spittastraße 6, 04177 Leipzig",,51.3412315097092,12.3268170396261,11.jpg
Mint-green motifs,"William-Zipperer-Straße 50, 04177 Leipzig",,51.3419338219797,12.3273949838064,12.jpg
Flower entrance,"Rietschelstraße 79, 04177 Leipzig",,51.3459346987601,12.3240017261345,13.jpg
Oval face (smiing guy in rectangle),"Roßmarktstraße 9, 04177 Leipzig",,51.3392059150401,12.3344104396259,14.jpg
Medusa,"Roßmarktstraße 10, 04177 Leipzig",,51.3395821353063,12.3342921126423,15.jpg
Head with wings,"Marktstraße 9, 04177 Leipzig",,51.3362230228901,12.3341347396258,16.jpg
Many angry guys,"Merseburger Str. 37
04177 Leipzig",,51.3322607298895,12.3325700972977,17.jpg
Guy with plant beard,"Merseburger Str. 40
04177 Leipzig",,51.332241660844,12.3333080219035,18.jpg
Guy with long [smth],"Merseburger Str. 29
04177 Leipzig",,51.3317767206039,12.3327906531174,19.jpg
Guy with wig / veil,"Merseburger Str. 38
04177 Leipzig",,51.3310754148466,12.3337492261337,20.jpg
Poseidon,"Merseburger Str. 59
04177 Leipzig",,51.3340228255103,12.331423970314,21.jpg
Twins [smth] edge of triangular pillar,"Lauchstädter Str. 31
04229 Leipzig",,51.3291583143345,12.3348235107893,22.jpg
Baby with hat,"Lauchstädter Str. 33
04229 Leipzig",,51.3292302490352,12.3344703972975,23.jpg
Regular guy on yellow building,"Zschochersche Str. 53
04229 Leipzig",,51.3287553386012,12.3366501242812,24.jpg
Battered guys,"Zschochersche Str. 55
04229 Leipzig",,51.3286450547052,12.3365576819533,25.jpg
schokierte Löwen,CHECK,,,,26.jpg
Guy with weaved beehive hat,"Zschochersche Str. 41A
04229 Leipzig",,51.3300403391598,12.3374967396254,27.jpg
Alone guy in square,CHECK,,,,28.jpg
Colourful guys,CHECK,,,,29.jpg
